"Metabolite","Diabetes","Mean","SD","N","SE"
"Arginine","Diabetic",0.15017336694898,1.09823437399113,98,0.110938424740184
"Ascorbate","Non-diabetic",-0.0419811773275862,1.08554987675358,58,0.142539682007825
"Ascorbate","Diabetic",-0.0327506632959184,1.00562094309672,98,0.101583055452415
"Asparagine","Non-diabetic",-0.0495630940517241,0.924233943603244,58,0.121357862262416
"Asparagine","Diabetic",0.188555320520408,0.940514890425535,98,0.0950063509752598
"Aspartate","Non-diabetic",-0.25689986362069,0.880674718184001,58,0.115638255754483
"Aspartate","Diabetic",0.196724302612245,1.00700563923293,98,0.101722930884957
"Bromotryptophan_5","Non-diabetic",0.330805054465517,0.862445424383009,58,0.113244632211923
"Bromotryptophan_5","Diabetic",-0.412018929653061,0.978031058753714,98,0.0987960562651157
"Caffeine","Non-diabetic",-0.00639796313793103,1.04075313672979,58,0.136657581871556
"Caffeine","Diabetic",0.129915251438775,1.09064458794924,98,0.110171740571902
"Carnitine","Non-diabetic",0.173751726844828,1.04898227495381,58,0.137738120657261
"Carnitine","Diabetic",-0.00446456182653061,1.02259131332209,98,0.103297321718929
"Cholate","Non-diabetic",-0.140139835810345,0.993228190736624,58,0.130417250741342
"Cholate","Diabetic",-0.17994862694898,0.992756654992423,98,0.100283566116174
"Cholesterol","Non-diabetic",-0.118633583931034,0.800884814594985,58,0.105161328135988
"Cholesterol","Diabetic",0.0750625582040816,0.89607079144079,98,0.0905168190072827
"Choline","Non-diabetic",-0.125319141396552,0.890739655956745,58,0.116959846830377
"Choline","Diabetic",-0.0336066397142857,1.02957751879385,98,0.104003035042336
"Citrate","Non-diabetic",-0.158521172172414,0.92250580782857,58,0.121130946918346
"Citrate","Diabetic",0.0728362024897959,0.936525769946913,98,0.0946033889550592
"Citrulline","Non-diabetic",0.702505731827586,0.860846000100081,58,0.113034617514702
"Citrulline","Diabetic",-0.409141716163265,0.915205448331683,98,0.0924497112420296
"Cys_gly_oxidized","Non-diabetic",0.168657155689655,0.911943772932454,58,0.119744083792397
"Cys_gly_oxidized","Diabetic",-0.222995802346939,0.870316767433283,98,0.0879152697189186
"Cysteine_glutathione_disulfide","Non-diabetic",0.142971451275862,0.937018586668572,58,0.123036568138709
"Cysteine_glutathione_disulfide","Diabetic",-0.201507471887755,0.897914019465488,98,0.0907030131552166
